"DATASET";"DOELGROEP";"SUBDOELGROEP";"CODE_EMISSIEOORZAAK";"EMISSIEOORZAAK";"COMPARTIMENT";"STOFCODE";"STOF";"EENHEID";1990;1995;2000;2005;2010;2013;2014;2015
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart stilliggend";"0280019";"Stilliggend NL, Chemie/Gastankers";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;;11.9866;6.14969;7.62054;7.62054
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart stilliggend";"0280020";"Stilliggend NL, Bulkcarrier";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;;4.47575;5.09326;4.97595;4.97595
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart stilliggend";"0280021";"Stilliggend NL, Containerschepen";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;;7.2898;8.87264;10.7911;10.7911
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart stilliggend";"0280022";"Stilliggend NL, Conventioneel stukgoed";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;;2.19209;1.92542;2.18862;2.18862
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart stilliggend";"0280023";"Stilliggend NL, Roro lading/autoschepen";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;;3.02656;1.8922;2.25053;2.25053
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart stilliggend";"0280024";"Stilliggend NL, Koelschepen";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;;1.06707;0.819697;0.869044;0.869044
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart stilliggend";"0280025";"Stilliggend NL, Passagierschepen";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;;1.63247;7.40435;8.13563;8.13563
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart stilliggend";"0280026";"Stilliggend NL, Overige schepen";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;;5.01031;5.84156;7.42823;7.42823
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280027";"Varend NL, Olietankers";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;;2.77894;3.03248;3.5393;3.5393
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280028";"Varend NL, Chemie/Gastankers";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;;10.3703;9.48491;9.3503;9.3503
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280029";"Varend NL, Bulkcarrier";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;;2.94167;2.89019;3.0565;3.0565
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280030";"Varend NL, Containerschepen";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;;25.9861;25.468;26.7924;26.7924
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280031";"Varend NL, Conventioneel stukgoed";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;;7.39641;6.56671;7.11096;7.11096
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280032";"Varend NL, Roro lading/autoschepen";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;;9.28283;8.03979;7.94582;7.94582
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280033";"Varend NL, Koelschepen";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;;1.11521;1.12818;1.09392;1.09392
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280034";"Varend NL, Passagierschepen";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;;2.51363;2.63897;2.6633;2.6633
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280035";"Varend NL, Overige schepen";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;;7.71276;7.62057;6.23739;6.23739
"ER Reeks 1990-2014 Definitief";"Overige industrie";"Basismetaal";"8914702";"SBI 24.45: Vervaardiging van overige non-ferrometalen, aluminium";"Lucht";"120";"Zinkverb. (als Zn)";"kg";5;10;135;1125;835;842.824;888.629;892.794
"ER Reeks 1990-2014 Definitief";"Overige industrie";"Basismetaal";"T104702";"SBI 24.45 (per bedrijf) Vervaardiging van overige non-ferrometalen, aluminium";"Lucht";"120";"Zinkverb. (als Zn)";"kg";86.48;131;961.9;394.689;348.279;501;433;433
"ER Reeks 1990-2014 Definitief";"Overige industrie";"Basismetaal";"T104704";"SBI 24.45 (per bedrijf) Vervaardiging van overige non-ferrometalen, koper";"Lucht";"120";"Zinkverb. (als Zn)";"kg";19491.2;8557.33;2307.82;715;400;452.47;457.15;457.15
"ER Reeks 1990-2014 Definitief";"Overige industrie";"Basismetaal";"T104705";"SBI 24.45 (per bedrijf) Vervaardiging van overige non-ferrometalen, lood";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;1.3;0.8;1.49;1.51;1.51
"ER Reeks 1990-2014 Definitief";"Overige industrie";"Basismetaal";"T104706";"SBI 24.45 (per bedrijf) Vervaardiging van overige non-ferrometalen, zink";"Lucht";"120";"Zinkverb. (als Zn)";"kg";19804.6;15255.6;16656.3;11255.4;12403.3;12732.6;43419.7;43419.7
"ER Reeks 1990-2014 Definitief";"Landbouw";"Productgebruik Landbouw";"0403707";"NMI3 vervluchtiging tijdens spuittoepassing";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;2173.84;1504.07;1562.55;1668.02;1668.02
"ER Reeks 1990-2014 Definitief";"Landbouw";"Productgebruik Landbouw";"0403708";"NMI3 cumulatieve vervluchtiging vanaf gewas, open teelt";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;3449.3;2398.78;2525.34;2698.31;2698.31
"ER Reeks 1990-2014 Definitief";"Landbouw";"Productgebruik Landbouw";"0403709";"NMI3 vervluchtiging door toepassing in kassen";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;0.369518;0.117066;0.145449;0.157074;0.157074
"ER Reeks 1990-2014 Definitief";"Landbouw";"Productgebruik Landbouw";"0403710";"NMI3 cumulatieve vervluchtiging vanaf de bodem, open teelt";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;;;1224.55;575.407;39.6606;;
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0102001";"Uitlaatgassen brommobielen, bebouwde kom";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;0.194005;2.15653;3.66333;4.83589;4.84803;4.76569;4.99804
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0102003";"Uitlaatgassen brommobielen, buitenweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";;0.193223;2.14783;3.64856;4.81642;4.82863;4.74664;4.97812
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100423";"Uitlaatgassen autobussen ov diesel, bebouwde kom";"Lucht";"120";"Zinkverb. (als Zn)";"kg";3.46247;3.59283;3.13008;2.91336;3.08277;2.84481;2.72072;2.82541
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100424";"Uitlaatgassen autobussen ov diesel, autosnelweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";0.0772967;0.0802069;0.0698763;0.0650382;0.0688201;0.0635079;0.0607378;0.0630748
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100425";"Uitlaatgassen autobussen ov diesel, buitenweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";1.00901;1.047;0.912145;0.84899;0.898359;0.829014;0.792855;0.823361
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100426";"Uitlaatgassen autobussen touringcars diesel, bebouwde kom";"Lucht";"120";"Zinkverb. (als Zn)";"kg";0.244455;0.247678;0.299262;0.256483;0.223056;0.197246;0.188927;0.177881
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100427";"Uitlaatgassen autobussen touringcars diesel, autosnelweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";0.418025;0.423537;0.511747;0.438594;0.381432;0.337296;0.323071;0.304183
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100428";"Uitlaatgassen autobussen touringcars diesel, buitenweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";0.43437;0.440098;0.531757;0.455744;0.396346;0.350485;0.335704;0.316077
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100438";"Uitlaatgassen autobussen touringcars overig, bebouwde kom";"Lucht";"120";"Zinkverb. (als Zn)";"kg";0.000438916;0.000170781;0.00016595;0.000299286;0.00037457;0.000294318;0.000282753;0.0002539
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100439";"Uitlaatgassen autobussen touringcars overig, autosnelweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";0.00075056;0.000292041;0.000283779;0.000511788;0.000640526;0.000503292;0.000483515;0.000434177
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100440";"Uitlaatgassen autobussen touringcars overig, buitenweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";0.000779908;0.00030346;0.000294875;0.0005318;0.000665572;0.000522971;0.000502422;0.000451154
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120104";"Bandenslijtage personenauto's, bebouwde kom";"Lucht";"120";"Zinkverb. (als Zn)";"kg";1456.81;1328.71;1172.2;1252.02;1304.66;1317.08;1313.57;1331.18
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120105";"Bandenslijtage personenauto's, autosnelweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";1388.36;1606.05;2065.36;2204.59;2229.86;2246.03;2239.24;2270
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120106";"Bandenslijtage personenauto's, buitenweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";1230.36;1226.74;1316.5;1405.65;1464.22;1479.46;1474.04;1492.46
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120111";"Bandenslijtage lichte bedrijfsvoertuigen, bebouwde kom";"Lucht";"120";"Zinkverb. (als Zn)";"kg";302.496;262.569;187.046;218.427;211.386;199.491;200.814;201.939
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120112";"Bandenslijtage lichte bedrijfsvoertuigen, autosnelweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";99.8346;229.015;477.189;557.188;538.316;507.485;510.768;512.691
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120113";"Bandenslijtage lichte bedrijfsvoertuigen, buitenweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";120.186;160.508;240.345;280.674;271.39;255.982;257.656;258.507
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120211";"Bandenslijtage zware bedrijfsvoertuigen, excl. autobussen, bebouwde kom";"Lucht";"120";"Zinkverb. (als Zn)";"kg";763.367;729.646;596.965;533.812;516.95;461.711;449.034;448.469
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120212";"Bandenslijtage zware bedrijfsvoertuigen, excl. autobussen, autosnelweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";1479.79;1958.63;2361.65;2376.04;2518.28;2321.02;2280.44;2297.5
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120213";"Bandenslijtage zware bedrijfsvoertuigen, excl. autobussen, buitenweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";732.761;702.738;605.294;587.507;613.972;560.503;549.048;553.08
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120214";"Bandenslijtage autobussen ov, bebouwde kom";"Lucht";"120";"Zinkverb. (als Zn)";"kg";112.557;117.575;105.742;102.615;122.235;120.562;116.708;121.225
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120215";"Bandenslijtage autobussen ov, autosnelweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";3.4636;3.61803;3.25389;3.15769;3.76143;3.70995;3.59135;3.73033
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120216";"Bandenslijtage autobussen ov, buitenweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";31.6448;33.0557;29.7287;28.8498;34.3658;33.8955;32.8119;34.0817
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120217";"Bandenslijtage autobussen touringcars, bebouwde kom";"Lucht";"120";"Zinkverb. (als Zn)";"kg";7.93902;8.04487;9.84438;8.7435;7.94431;7.18746;6.91753;6.51819
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120218";"Bandenslijtage autobussen touringcars, autosnelweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";18.7134;18.9629;23.2046;20.6097;18.7259;16.9419;16.3056;15.3643
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120219";"Bandenslijtage autobussen touringcars, buitenweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";13.6097;13.7912;16.8761;14.9889;13.6188;12.3214;11.8586;11.174
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120301";"Bandenslijtage tweewielers, bebouwde kom";"Lucht";"120";"Zinkverb. (als Zn)";"kg";11.819;13.041;15.5389;16.6599;21.511;21.6109;21.4968;20.3707
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120302";"Bandenslijtage tweewielers, autosnelweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";8.14242;14.8858;19.4962;23.0423;24.5889;24.0548;23.5882;20.5063
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0120303";"Bandenslijtage tweewielers, buitenweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";9.02637;14.4252;18.323;21.0328;23.2632;22.9262;22.558;20.1017
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130104";"Remslijtage personenauto's, bebouwde kom";"Lucht";"120";"Zinkverb. (als Zn)";"kg";3565.48;3251.95;2868.89;3064.26;3193.09;3223.49;3214.89;3257.99
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130105";"Remslijtage personenauto's, autosnelweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";691.947;800.441;1029.35;1098.75;1111.34;1119.4;1116.01;1131.35
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130106";"Remslijtage personenauto's, buitenweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";1405.24;1401.12;1503.64;1605.45;1672.36;1689.75;1683.57;1704.6
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130111";"Remslijtage lichte bedrijfsvoertuigen, bebouwde kom";"Lucht";"120";"Zinkverb. (als Zn)";"kg";668.242;580.039;413.201;482.526;466.972;440.694;443.616;446.102
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130112";"Remslijtage lichte bedrijfsvoertuigen, autosnelweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";44.9108;103.023;214.664;250.652;242.162;228.293;229.77;230.635
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130113";"Remslijtage lichte bedrijfsvoertuigen, buitenweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";123.901;165.469;247.774;289.35;279.778;263.895;265.621;266.497
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130211";"Remslijtage zware bedrijfsvoertuigen, excl. autobussen, bebouwde kom";"Lucht";"120";"Zinkverb. (als Zn)";"kg";556.141;529.736;430.848;389.885;380.819;341.233;332.354;332.44
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130212";"Remslijtage zware bedrijfsvoertuigen, excl. autobussen, autosnelweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";225.146;298.99;363.49;371.861;397.506;367.459;361.64;365.014
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130213";"Remslijtage zware bedrijfsvoertuigen, excl. autobussen, buitenweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";248.643;240.539;210.419;207.624;218.832;200.458;196.702;198.473
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130214";"Remslijtage autobussen ov, bebouwde kom";"Lucht";"120";"Zinkverb. (als Zn)";"kg";122.077;127.52;114.686;111.295;132.574;130.76;126.58;131.478
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130215";"Remslijtage autobussen ov, autosnelweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";0.764975;0.799082;0.718657;0.69741;0.830753;0.819384;0.793189;0.823885
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130216";"Remslijtage autobussen ov, buitenweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";16.0167;16.7308;15.0469;14.602;17.3939;17.1559;16.6074;17.2501
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130217";"Remslijtage autobussen touringcars, bebouwde kom";"Lucht";"120";"Zinkverb. (als Zn)";"kg";8.61054;8.72534;10.6771;9.48307;8.61628;7.7954;7.50265;7.06953
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130218";"Remslijtage autobussen touringcars, autosnelweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";4.13306;4.18816;5.12499;4.55187;4.13581;3.74179;3.60127;3.39337
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130219";"Remslijtage autobussen touringcars, buitenweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";6.88843;6.98027;8.54165;7.58646;6.89302;6.23632;6.00212;5.65562
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130301";"Remslijtage tweewielers, bebouwde kom";"Lucht";"120";"Zinkverb. (als Zn)";"kg";7.64269;13.7646;17.823;20.8417;22.0931;21.5545;21.117;18.3533
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130302";"Remslijtage tweewielers, autosnelweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";3.23377;5.91192;7.74295;9.15127;9.76551;9.55339;9.36806;8.1441
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - niet uitlaatgassen";"0130303";"Remslijtage tweewielers, buitenweg";"Lucht";"120";"Zinkverb. (als Zn)";"kg";6.50648;11.6869;15.0709;17.5614;18.5538;18.0907;17.7148;15.3979
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Mobiele werktuigen";"0401107";"Mobiele werktuigen containeroverslag";"Lucht";"120";"Zinkverb. (als Zn)";"kg";0.3899;0.500022;0.645175;0.944103;1.1222;1.16471;1.23082;1.22124
"ER Reeks 1990-2014 Definitief";"Consumenten";"Energiegebruik Consumenten";"0012102";"Vuurhaarden consumenten, hoofdverwarming woningen";"Lucht";"205";"Distikstofoxide";"kg";32889;33345.9;28466.5;25395.2;34015.8;29246.4;22298.3;22737.1
"ER Reeks 1990-2014 Definitief";"Energiesector";"Olie- gaswinning land";"0020400";"SBI 06/09.1: Aardolie- en gaswinning en dienstverlening voor de aardolie- en aardgaswinning, onshore (PBL)";"Lucht";"205";"Distikstofoxide";"kg";500;569;550;606;4000;3200;2600;2600
"ER Reeks 1990-2014 Definitief";"Bouw";"Overig bouw";"0020401";"SBI 41-43: Bouwnijverheid";"Lucht";"205";"Distikstofoxide";"kg";;;;731.634;804.53;854.784;652.708;652.708
"ER Reeks 1990-2014 Definitief";"Handel, Diensten en Overheid (HDO)";"Energiegebruik en processen Handel, Diensten en Overheid (HDO)";"0020500";"Handel, diensten, overheid";"Lucht";"205";"Distikstofoxide";"kg";15127.9;15087.1;13999.1;17088.5;17513.2;15791.8;12680.8;13940.7
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100101";"Uitlaatgassen personenauto's benzine, bebouwde kom";"Lucht";"205";"Distikstofoxide";"kg";98774.1;243667;261981;232235;168705;129683;110757;109023
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100102";"Uitlaatgassen personenauto's benzine, autosnelweg";"Lucht";"205";"Distikstofoxide";"kg";37388.9;109644;107642;75007;42735.9;33141.2;29012.9;28667.3
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100103";"Uitlaatgassen personenauto's benzine, buitenweg";"Lucht";"205";"Distikstofoxide";"kg";57212;156469;162046;123742;73939.9;54982.2;45802.4;44831.3
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100201";"Uitlaatgassen personenauto's diesel, bebouwde kom";"Lucht";"205";"Distikstofoxide";"kg";;2229.66;9833.87;30372.7;45192.5;48879.4;49205.9;48609.8
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100202";"Uitlaatgassen personenauto's diesel, autosnelweg";"Lucht";"205";"Distikstofoxide";"kg";;14734.2;56638.6;67087.1;72092.9;72294.5;70714.1;70518
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100203";"Uitlaatgassen personenauto's diesel, buitenweg";"Lucht";"205";"Distikstofoxide";"kg";;9499.51;33395.8;45975.4;41315.6;39228;38713.5;38564.4
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100301";"Uitlaatgassen personenauto's LPG, bebouwde kom";"Lucht";"205";"Distikstofoxide";"kg";18880.4;31467.7;22527.2;10161;5796.69;4098.19;3401.4;3144.3
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100302";"Uitlaatgassen personenauto's LPG, autosnelweg";"Lucht";"205";"Distikstofoxide";"kg";13321.8;25607.5;17295.4;5944.8;2687.37;1865.35;1512.77;1387.69
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100303";"Uitlaatgassen personenauto's LPG, buitenweg";"Lucht";"205";"Distikstofoxide";"kg";19260.7;34394.3;22310.1;7744.19;4133.98;3044.18;2560.52;2398.14
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100401";"Uitlaatgassen lichte bedrijfsvoertuigen benzine, bebouwde kom";"Lucht";"205";"Distikstofoxide";"kg";;13317.5;4804.34;2305.47;1010.15;464.437;408.421;350.575
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100402";"Uitlaatgassen lichte bedrijfsvoertuigen benzine, autosnelweg";"Lucht";"205";"Distikstofoxide";"kg";;8854.03;8837.5;3572.32;1592.48;740.455;651.694;553.681
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100403";"Uitlaatgassen lichte bedrijfsvoertuigen benzine, buitenweg";"Lucht";"205";"Distikstofoxide";"kg";;5912.49;5232.86;2833.7;1272.96;575.684;501.913;425.139
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100501";"Uitlaatgassen lichte bedrijfsvoertuigen diesel, bebouwde kom";"Lucht";"205";"Distikstofoxide";"kg";;3133.18;7168.99;18421.3;21665.3;21874.6;22486;22837.7
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100502";"Uitlaatgassen lichte bedrijfsvoertuigen diesel, autosnelweg";"Lucht";"205";"Distikstofoxide";"kg";;8012.32;36212.4;39644;35277.6;33389.6;33560.6;33144.5
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100503";"Uitlaatgassen lichte bedrijfsvoertuigen diesel, buitenweg";"Lucht";"205";"Distikstofoxide";"kg";;6546.31;21120.6;24070.2;21708.7;20609.3;20716.6;20440.2
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100601";"Uitlaatgassen lichte bedrijfsvoertuigen LPG, bebouwde kom";"Lucht";"205";"Distikstofoxide";"kg";1023.59;2805.48;1788.37;1045.75;506.7;407.016;395.426;367.946
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100602";"Uitlaatgassen lichte bedrijfsvoertuigen LPG, autosnelweg";"Lucht";"205";"Distikstofoxide";"kg";109.904;774.093;1046.47;450.489;179.164;159.936;157.327;148.343
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100603";"Uitlaatgassen lichte bedrijfsvoertuigen LPG, buitenweg";"Lucht";"205";"Distikstofoxide";"kg";268.547;1070.84;1101.88;560.578;223.445;193.723;191.008;179.353
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100701";"Uitlaatgassen zware bedrijfsvoertuigen excl. autobussen, bebouwde kom";"Lucht";"205";"Distikstofoxide";"kg";15046;16235.9;13033.9;10043.2;17235.1;20718.1;22063.9;23772.3
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100702";"Uitlaatgassen zware bedrijfsvoertuigen excl. autobussen, autosnelweg";"Lucht";"205";"Distikstofoxide";"kg";23074;36187.6;44402.3;40372.7;138551;181455;191902;198118
